,,Ages 16+,,,,,,,,Ages 16-29,,,,,,,,Ages 30-49,,,,,,,,Ages 50+,,,,,,,
MSA,FIPS,16+_2019_metro_rank,16+_2019_metro_perc,16+_2000_metro_perc,16+_2019_dollars_women,16+_2019_dollars_men,16+_2000_dollars_women,16+_2000_dollars_men,16+_map_change,16_29_2019_metro_rank,16_29_2019_metro_perc,16_29_2000_metro_perc,16_29_2019_dollars_women,16_29_2019_dollars_men,16_29_2000_dollars_women,16_29_2000_dollars_men,16_29_map_change,30_49_2019_metro_rank,30_49_2019_metro_perc,30_49_2000_metro_perc,30_49_2019_dollars_women,30_49_2019_dollars_men,30_49_2000_dollars_women,30_49_2000_dollars_men,30_49_map_change,50+_2019_metro_rank,50+_2019_metro_perc,50+_2000_metro_perc,50+_2019_dollars_women,50+_2019_dollars_men,50+_2000_dollars_women,50+_2000_dollars_men,50+_map_change
"Cape Coral-Fort Myers, FL",15980,5,92%,83%,"$37,288","$40,725","$38,481","$46,177",-0.08,55,95%,93%,"$26,634","$28,159","$29,938","$32,324",-0.02,7,93%,79%,"$38,848","$41,743","$40,020","$50,795",-0.14,27,82%,73%,"$41,717","$50,906","$38,481","$52,950",-0.09
"Champaign-Urbana, IL",16580,40,86%,74%,"$42,761","$50,000","$41,406","$56,183",-0.12,11,102%,83%,"$30,544","$30,000","$31,862","$38,481",-0.19,8,93%,73%,"$49,400","$53,268","$44,638","$61,570",-0.20,170,72%,61%,"$46,932","$64,746","$43,099","$70,805",-0.12
"Charleston, WV",16620,137,80%,no data,"$35,940","$44,745",no data,no data,no data,176,86%,no data,"$25,030","$29,136",no data,no data,no data,162,79%,0%,"$37,121","$46,932",no data,no data,no data,171,72%,0%,"$38,485","$53,190",no data,no data,no data
"Charleston-North Charleston, SC",16700,172,78%,75%,"$40,725","$52,000","$36,942","$49,256",-0.03,60,94%,91%,"$30,544","$32,373","$30,785","$33,863",-0.03,117,81%,71%,"$45,000","$55,399","$38,481","$53,874",-0.10,194,70%,63%,"$42,615","$61,087","$38,481","$61,570",-0.07
"Charlotte-Concord-Gastonia, NC-SC",16740,148,80%,72%,"$41,717","$52,147","$40,020","$55,413",-0.08,77,94%,88%,"$31,961","$34,092","$35,403","$40,020",-0.05,136,80%,70%,"$45,000","$55,996","$43,099","$61,570",-0.10,155,73%,63%,"$44,797","$61,087","$40,020","$63,109",-0.10
"Chattanooga, TN-GA",16860,108,82%,72%,"$38,353","$46,932","$36,634","$50,795",-0.10,25,99%,83%,"$30,000","$30,245","$30,785","$36,942",-0.16,100,83%,71%,"$40,484","$49,018","$38,481","$53,874",-0.11,130,75%,60%,"$42,761","$57,361","$36,172","$60,031",-0.14
"Chicago-Naperville-Elgin, IL-IN-WI",16980,144,80%,71%,"$48,000","$60,000","$47,255","$66,188",-0.09,74,94%,89%,"$35,000","$37,288","$39,405","$44,330",-0.05,129,81%,72%,"$52,147","$64,746","$51,873","$72,345",-0.09,160,73%,64%,"$52,147","$71,379","$48,948","$76,962",-0.09
"Chico, CA",17020,139,80%,76%,"$40,697","$50,699","$38,481","$50,795",-0.05,70,94%,90%,"$29,028","$30,896","$27,553","$30,785",-0.04,135,80%,70%,"$43,380","$53,955","$38,635","$55,413",-0.11,117,75%,73%,"$47,912","$63,922","$46,177","$63,109",-0.02
"Cincinnati, OH-KY-IN",17140,147,80%,70%,"$43,467","$54,334","$43,099","$61,570",-0.10,113,91%,84%,"$31,288","$34,531","$35,403","$42,329",-0.07,146,80%,71%,"$47,941","$60,000","$46,177","$64,648",-0.08,125,75%,65%,"$48,560","$65,000","$44,946","$69,266",-0.10
"Clarksville, TN-KY",17300,90,83%,76%,"$34,531","$41,717","$33,863","$44,330",-0.06,205,83%,89%,"$25,899","$31,288","$28,322","$31,862",0.06,201,76%,70%,"$36,690","$48,000","$35,403","$50,795",-0.07,103,76%,76%,"$39,419","$52,147","$39,713","$52,334",0.00
