,OCC1950_NEW,NEW_IND50,YEAR,MIDWEST,NORTHEAST,SOUTH,WEST,EDUC1,EDUC2,EDUC3,EDUC4,EDUC5,educ_hs,FEMALE_COUNT,COUNT,FEM_RATIO,OCC_GENDER,LOG_MEDIAN_WAGE
337,"Attendants, physician's and dentist's office",1,1990,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,1.0,2,3,0.6666666666666666,mixed,2.331572629867298
338,"Attendants, physician's and dentist's office",2,1980,,,1.0,,,,1.0,,,,0,1,0.0,mixed,3.012312803701212
339,"Attendants, physician's and dentist's office",2,1990,0.5,0.5,,,0.5,0.5,,,,,2,2,1.0,female,2.7527825765037033
340,"Attendants, physician's and dentist's office",3,1970,,,1.0,,,,,,,1.0,2,3,0.6666666666666666,mixed,2.198694085315579
341,"Attendants, physician's and dentist's office",3,1980,1.0,,,,,,1.0,,,,1,1,1.0,female,2.5799326983217674
342,"Attendants, physician's and dentist's office",3,1990,0.25,,0.25,0.5,0.5,0.25,,,,0.25,3,4,0.75,female,1.9963414813600444
343,"Attendants, physician's and dentist's office",4,1970,0.5,0.5,,,,,,,,1.0,2,2,1.0,female,2.5896417737016657
344,"Attendants, physician's and dentist's office",4,1980,0.5,,0.5,,0.5,,,,,0.5,1,2,0.5,mixed,3.260860734229973
345,"Attendants, physician's and dentist's office",4,1990,,0.5,0.5,,,,,0.5,0.25,0.25,1,4,0.25,male,3.165594763000727
346,"Attendants, physician's and dentist's office",5,1950,1.0,,,,,,,,,1.0,0,1,0.0,mixed,2.8401485338992734
347,"Attendants, physician's and dentist's office",5,1970,0.5,,,0.5,0.5,,,,,0.5,1,4,0.25,male,1.944487871654561
348,"Attendants, physician's and dentist's office",5,1980,0.1875,0.0625,0.375,0.375,0.125,0.3125,,,0.0625,0.5,5,16,0.3125,male,2.139342742037034
349,"Attendants, physician's and dentist's office",5,1990,0.2608695652173913,0.30434782608695654,0.30434782608695654,0.13043478260869565,0.5217391304347826,0.043478260869565216,,,0.043478260869565216,0.391304347826087,6,23,0.2608695652173913,male,2.553114899814534
350,"Attendants, physician's and dentist's office",6,1970,0.25,,0.5,0.25,,0.5,,,,0.5,4,4,1.0,female,2.3833330344719625
351,"Attendants, physician's and dentist's office",6,1980,0.288135593220339,0.2966101694915254,0.211864406779661,0.2033898305084746,0.1694915254237288,0.11864406779661017,0.07627118644067797,0.06779661016949153,0.06779661016949153,0.5,94,118,0.7966101694915254,female,2.1373540853717174
352,"Attendants, physician's and dentist's office",6,1990,0.18055555555555555,0.2777777777777778,0.3194444444444444,0.2222222222222222,0.3472222222222222,0.08333333333333333,,0.08333333333333333,0.013888888888888888,0.4722222222222222,58,72,0.8055555555555556,female,2.155283527771764
353,"Attendants, physician's and dentist's office",7,1970,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,0.3333333333333333,0.6666666666666666,3,3,1.0,female,2.3789559091465233
354,"Attendants, physician's and dentist's office",7,1980,0.3333333333333333,0.16666666666666666,0.5,,0.16666666666666666,0.16666666666666666,,,0.16666666666666666,0.5,6,6,1.0,female,2.5901251142898714
355,"Attendants, physician's and dentist's office",7,1990,0.16666666666666666,0.16666666666666666,0.6666666666666666,,0.3333333333333333,,,,,0.6666666666666666,5,6,0.8333333333333334,female,1.4862615113565172
356,"Attendants, physician's and dentist's office",8,1950,0.4146341463414634,0.17073170731707318,0.3170731707317073,0.0975609756097561,0.12195121951219512,0.04878048780487805,0.04878048780487805,0.04878048780487805,,0.7317073170731707,40,41,0.975609756097561,female,1.792576129134611
357,"Attendants, physician's and dentist's office",8,1960,0.29685157421289354,0.2158920539730135,0.2353823088455772,0.2518740629685157,0.1184407796101949,0.08995502248875563,0.014992503748125937,0.014992503748125937,0.005997001499250375,0.7556221889055472,655,667,0.9820089955022488,female,2.1094516210544554
358,"Attendants, physician's and dentist's office",8,1970,0.3066860465116279,0.2063953488372093,0.24127906976744187,0.24563953488372092,0.10465116279069768,0.11046511627906977,0.03488372093023256,0.040697674418604654,0.011627906976744186,0.6976744186046512,639,688,0.9287790697674418,female,2.2951041705678144
359,"Attendants, physician's and dentist's office",8,1980,0.30098684210526316,0.22327302631578946,0.2520559210526316,0.2236842105263158,0.17639802631578946,0.13856907894736842,0.049342105263157895,0.04975328947368421,0.032072368421052634,0.5538651315789473,2228,2432,0.9161184210526315,female,2.2584372615042088
360,"Attendants, physician's and dentist's office",8,1990,0.27897435897435896,0.24,0.28239316239316237,0.19863247863247863,0.3182905982905983,0.12068376068376069,,0.06290598290598291,0.02905982905982906,0.46905982905982907,2649,2925,0.9056410256410257,female,2.2809696234919374
361,"Attendants, physician's and dentist's office",9,1960,,,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,2,3,0.6666666666666666,mixed,2.5658231015101336
362,"Attendants, physician's and dentist's office",9,1970,0.38461538461538464,,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.07692307692307693,,0.15384615384615385,0.46153846153846156,8,13,0.6153846153846154,mixed,2.5809023312594763
363,"Attendants, physician's and dentist's office",9,1980,0.18421052631578946,0.10526315789473684,0.47368421052631576,0.23684210526315788,0.13157894736842105,0.21052631578947367,0.02631578947368421,0.13157894736842105,,0.5,23,38,0.6052631578947368,mixed,2.492258569966432
364,"Attendants, physician's and dentist's office",9,1990,0.2682926829268293,0.34146341463414637,0.2926829268292683,0.0975609756097561,0.36585365853658536,0.0975609756097561,,0.04878048780487805,0.024390243902439025,0.4634146341463415,28,41,0.6829268292682927,female,2.511368477218278
365,Authors,1,1970,1.0,,,,,,,1.0,,,0,1,0.0,mixed,2.119260855034062
366,Authors,2,1960,,,0.3333333333333333,0.6666666666666666,0.3333333333333333,,,,0.3333333333333333,0.3333333333333333,0,3,0.0,mixed,3.0128942104507614
367,Authors,2,1980,,,,1.0,,,,1.0,,,1,1,1.0,female,2.466774501464585
368,Authors,2,1990,,0.3333333333333333,0.6666666666666666,,,0.3333333333333333,,0.6666666666666666,,,0,3,0.0,mixed,2.097460047182514
369,Authors,3,1950,1.0,,,,,,,1.0,,,0,1,0.0,mixed,2.5250674872593777
370,Authors,3,1960,0.3076923076923077,0.2857142857142857,0.07692307692307693,0.32967032967032966,0.07692307692307693,0.17582417582417584,0.10989010989010989,0.27472527472527475,0.14285714285714285,0.21978021978021978,6,91,0.06593406593406594,male,2.9132643695019205
371,Authors,3,1970,0.2,0.36666666666666664,0.23333333333333334,0.2,0.16666666666666666,0.23333333333333334,0.03333333333333333,0.23333333333333334,0.2,0.13333333333333333,3,30,0.1,male,3.2024076321608934
372,Authors,3,1980,,0.5,0.5,,,0.5,,,,0.5,2,2,1.0,female,1.7444645167553774
373,Authors,3,1990,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.48148148148148145,0.25925925925925924,0.07407407407407407,,0.3333333333333333,0.2962962962962963,0.037037037037037035,12,27,0.4444444444444444,mixed,3.166219372700943
374,Authors,4,1950,,0.5,,0.5,0.5,,,,0.5,,0,2,0.0,mixed,3.0723407741307094
375,Authors,4,1960,0.3076923076923077,0.2692307692307692,,0.4230769230769231,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.07692307692307693,0.4230769230769231,0.23076923076923078,5,26,0.19230769230769232,male,3.0296396884991497
376,Authors,4,1970,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.25,,0.16666666666666666,,0.4166666666666667,0.3333333333333333,0.08333333333333333,6,12,0.5,mixed,3.1929959584874443
377,Authors,4,1980,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.2777777777777778,0.05555555555555555,0.1111111111111111,,0.3333333333333333,0.4444444444444444,0.05555555555555555,9,18,0.5,mixed,2.6108337857932455
378,Authors,4,1990,0.17307692307692307,0.21153846153846154,0.2692307692307692,0.34615384615384615,0.23076923076923078,0.09615384615384616,,0.5,0.15384615384615385,0.019230769230769232,23,52,0.4423076923076923,mixed,2.487271929401847
379,Authors,5,1960,1.0,,,,,1.0,,,,,0,1,0.0,mixed,3.1630962178226034
380,Authors,5,1980,1.0,,,,,,,1.0,,,1,1,1.0,female,2.8793740036866233
381,Authors,5,1990,,0.18181818181818182,0.2727272727272727,0.5454545454545454,0.45454545454545453,,,0.09090909090909091,0.36363636363636365,0.09090909090909091,6,11,0.5454545454545454,mixed,3.2827531889568946
382,Authors,6,1960,0.5,0.25,0.25,,0.25,,,0.25,0.25,0.25,2,4,0.5,mixed,3.165339009987273
383,Authors,6,1970,1.0,,,,,,,1.0,,,1,1,1.0,female,3.2024076321608934
384,Authors,6,1980,0.5,0.25,0.25,,0.25,,,0.25,0.25,0.25,2,4,0.5,mixed,2.8513782652933832
385,Authors,6,1990,0.2777777777777778,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.05555555555555555,0.05555555555555555,,0.4444444444444444,0.2222222222222222,0.2222222222222222,8,18,0.4444444444444444,mixed,2.7554804406571494
386,Authors,7,1960,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,0.6666666666666666,2,3,0.6666666666666666,mixed,2.857248160240749
387,Authors,7,1980,,1.0,,,,,,1.0,,,1,1,1.0,female,2.4224215744423265
388,Authors,7,1990,0.2222222222222222,0.3333333333333333,,0.4444444444444444,0.1111111111111111,0.2222222222222222,,0.3333333333333333,0.2222222222222222,0.1111111111111111,7,9,0.7777777777777778,female,2.6737428876031486
389,Authors,8,1950,0.5,0.5,,,,,0.5,0.5,,,1,2,0.5,mixed,-0.09238911111618398
390,Authors,8,1960,0.15476190476190477,0.4523809523809524,0.14285714285714285,0.25,0.05952380952380952,0.10714285714285714,0.09523809523809523,0.2619047619047619,0.25,0.2261904761904762,25,84,0.2976190476190476,male,2.90800689309833
